Name,Nomenclature Name
qDII-11c-CLV3-CH-MS-E3-SD-SAM3.czi,qDII-CLV3-SD_E3_160623_sam03_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM4.czi,qDII-CLV3-SD_E3_160623_sam04_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM5.czi,qDII-CLV3-SD_E3_160623_sam05_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM6.czi,qDII-CLV3-SD_E3_160623_sam06_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM7.czi,qDII-CLV3-SD_E3_160623_sam07_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM1.czi,DR5-CLV3-PI-LD_E3_160625_sam01_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM2.czi,DR5-CLV3-PI-LD_E3_160625_sam02_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM3.czi,DR5-CLV3-PI-LD_E3_160625_sam03_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM4.czi,DR5-CLV3-PI-LD_E3_160625_sam04_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM5.czi,DR5-CLV3-PI-LD_E3_160625_sam05_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM6.czi,DR5-CLV3-PI-LD_E3_160625_sam06_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM7.czi,DR5-CLV3-PI-LD_E3_160625_sam07_t00
CLV3-CH-DR5-3VE-MS-E3-LD-SAM8.czi,DR5-CLV3-PI-LD_E3_160625_sam08_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM1.czi,DR5-CLV3-PI-SD_E3_160625_sam01_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM2.czi,DR5-CLV3-PI-SD_E3_160625_sam02_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM3.czi,DR5-CLV3-PI-SD_E3_160625_sam03_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM4.czi,DR5-CLV3-PI-SD_E3_160625_sam04_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM5.czi,DR5-CLV3-PI-SD_E3_160625_sam05_t00
CLV3-CH-DR5-3VE-MS-E3-SD-SAM6.czi,DR5-CLV3-PI-SD_E3_160625_sam06_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM2.czi,qDII-CLV3-SD_E7_160828_sam02_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM3.czi,qDII-CLV3-SD_E7_160828_sam03_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM4.czi,qDII-CLV3-SD_E7_160828_sam04_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM10.czi,qDII-CLV3-SD_E7_160828_sam10_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM12.czi,qDII-CLV3-SD_E7_160828_sam12_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM15.czi,qDII-CLV3-SD_E7_160828_sam15_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM16.czi,qDII-CLV3-SD_E7_160828_sam16_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM18.czi,qDII-CLV3-SD_E7_160828_sam18_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM20.czi,qDII-CLV3-SD_E7_160828_sam20_t00
qDII-11c-CLV-CH-MS-E7-SD-SAM2-6h.czi,qDII-CLV3-SD_E7_160828_sam02_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM3-6h.czi,qDII-CLV3-SD_E7_160828_sam03_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM4-6h.czi,qDII-CLV3-SD_E7_160828_sam04_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM10-6h.czi,qDII-CLV3-SD_E7_160828_sam10_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM12-6h.czi,qDII-CLV3-SD_E7_160828_sam12_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM15-6h.czi,qDII-CLV3-SD_E7_160828_sam15_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM16-6h.czi,qDII-CLV3-SD_E7_160828_sam16_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM18-6h.czi,qDII-CLV3-SD_E7_160828_sam18_t06
qDII-11c-CLV-CH-MS-E7-SD-SAM20-6h.czi,qDII-CLV3-SD_E7_160828_sam20_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM1.czi,qDII-CLV3-LD_E7_160906_sam01_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM2.czi,qDII-CLV3-LD_E7_160906_sam02_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM3.czi,qDII-CLV3-LD_E7_160906_sam03_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM5.czi,qDII-CLV3-LD_E7_160906_sam05_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM6.czi,qDII-CLV3-LD_E7_160906_sam06_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM7.czi,qDII-CLV3-LD_E7_160906_sam07_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM1-6h.czi,qDII-CLV3-LD_E7_160906_sam01_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM2-6h.czi,qDII-CLV3-LD_E7_160906_sam02_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM3-6h.czi,qDII-CLV3-LD_E7_160906_sam03_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM5-6h.czi,qDII-CLV3-LD_E7_160906_sam05_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM6-6h.czi,qDII-CLV3-LD_E7_160906_sam06_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM7-6h.czi,qDII-CLV3-LD_E7_160906_sam07_t06
qDII-11c-CLV-CH-MS-E7-LD-SAM1-10h.czi,qDII-CLV3-LD_E7_160906_sam01_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM2-10h.czi,qDII-CLV3-LD_E7_160906_sam02_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM3-10h.czi,qDII-CLV3-LD_E7_160906_sam03_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM5-10h.czi,qDII-CLV3-LD_E7_160906_sam05_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM6-10h.czi,qDII-CLV3-LD_E7_160906_sam06_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM7-10h.czi,qDII-CLV3-LD_E7_160906_sam07_t10
qDII-11c-CLV-CH-MS-E7-LD-SAM9.czi,qDII-CLV3-LD_E7_160906_sam09_t00
qDII-11c-CLV-CH-MS-E7-LD-SAM10.czi,qDII-CLV3-LD_E7_160906_sam10_t00
